2025-04-08T06:46:23.597Z [INFO]: 
🚀 Server listening on port 3000
2025-04-08T06:46:55.204Z [INFO]: OPTIONS /users/login - ::1
2025-04-08T06:46:55.211Z [INFO]: POST /users/login - ::1
2025-04-08T06:46:55.422Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:46:55.439Z [INFO]: GET /projects/all - ::1
2025-04-08T06:47:04.236Z [INFO]: OPTIONS /projects/create - ::1
2025-04-08T06:47:04.240Z [INFO]: POST /projects/create - ::1
2025-04-08T06:47:04.358Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:47:04.363Z [INFO]: GET /projects/all - ::1
2025-04-08T06:47:05.984Z [INFO]: OPTIONS /projects/get-project/67f4c6684a8b04a2ffa32796 - ::1
2025-04-08T06:47:06.004Z [INFO]: OPTIONS /users/all - ::1
2025-04-08T06:47:06.015Z [INFO]: GET /projects/get-project/67f4c6684a8b04a2ffa32796 - ::1
2025-04-08T06:47:06.022Z [INFO]: GET /users/all - ::1
2025-04-08T06:47:11.119Z [INFO]: OPTIONS /projects/add-user - ::1
2025-04-08T06:47:11.124Z [INFO]: PUT /projects/add-user - ::1
2025-04-08T06:47:15.398Z [INFO]: PUT /projects/add-user - ::1
2025-04-08T06:47:50.141Z [INFO]: OPTIONS /users/login - ::1
2025-04-08T06:47:50.144Z [INFO]: POST /users/login - ::1
2025-04-08T06:47:50.313Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:47:50.484Z [INFO]: GET /projects/all - ::1
2025-04-08T06:47:52.167Z [INFO]: OPTIONS /projects/get-project/67f4c6684a8b04a2ffa32796 - ::1
2025-04-08T06:47:52.172Z [INFO]: OPTIONS /users/all - ::1
2025-04-08T06:47:52.184Z [INFO]: GET /projects/get-project/67f4c6684a8b04a2ffa32796 - ::1
2025-04-08T06:47:52.186Z [INFO]: GET /users/all - ::1
2025-04-08T06:54:00.156Z [INFO]: OPTIONS /users/login - ::1
2025-04-08T06:54:00.159Z [INFO]: POST /users/login - ::1
2025-04-08T06:54:00.415Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:54:00.430Z [INFO]: GET /projects/all - ::1
2025-04-08T06:54:02.888Z [INFO]: OPTIONS /projects/get-project/67f4c6684a8b04a2ffa32796 - ::1
2025-04-08T06:54:02.911Z [INFO]: OPTIONS /users/all - ::1
2025-04-08T06:54:02.918Z [INFO]: GET /projects/get-project/67f4c6684a8b04a2ffa32796 - ::1
2025-04-08T06:54:02.931Z [INFO]: GET /users/all - ::1
2025-04-08T06:55:56.627Z [INFO]: OPTIONS /users/login - ::1
2025-04-08T06:55:56.631Z [INFO]: POST /users/login - ::1
2025-04-08T06:55:56.779Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:55:56.796Z [INFO]: GET /projects/all - ::1
2025-04-08T06:56:00.897Z [INFO]: OPTIONS /projects/get-project/67f3b8c0d545c6ddb7099e65 - ::1
2025-04-08T06:56:00.920Z [INFO]: OPTIONS /users/all - ::1
2025-04-08T06:56:00.934Z [INFO]: GET /users/all - ::1
2025-04-08T06:56:00.937Z [INFO]: GET /projects/get-project/67f3b8c0d545c6ddb7099e65 - ::1
2025-04-08T06:57:36.072Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:57:36.077Z [INFO]: GET /projects/all - ::1
2025-04-08T06:57:41.365Z [INFO]: OPTIONS /projects/create - ::1
2025-04-08T06:57:41.369Z [INFO]: POST /projects/create - ::1
2025-04-08T06:57:41.564Z [INFO]: OPTIONS /projects/all - ::1
2025-04-08T06:57:41.570Z [INFO]: GET /projects/all - ::1
2025-04-08T06:57:42.797Z [INFO]: OPTIONS /projects/get-project/67f4c8e54a8b04a2ffa327c0 - ::1
2025-04-08T06:57:42.804Z [INFO]: OPTIONS /users/all - ::1
2025-04-08T06:57:42.806Z [INFO]: GET /projects/get-project/67f4c8e54a8b04a2ffa327c0 - ::1
2025-04-08T06:57:42.813Z [INFO]: GET /users/all - ::1
2025-04-08T06:58:34.337Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T06:58:34.348Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T06:59:16.291Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T06:59:16.297Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T06:59:26.229Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T06:59:26.232Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:00:05.336Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:00:05.343Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:00:38.510Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:00:38.517Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:00:41.593Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:00:47.196Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:00:47.201Z [INFO]: PUT /projects/update-file-tree - ::1   
2025-04-08T07:00:57.731Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:00:57.738Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:01:09.445Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:01:09.449Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:01:20.603Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:01:20.608Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:01:53.660Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:01:53.670Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-08T07:03:39.629Z [INFO]: OPTIONS /projects/update-file-tree - ::1
2025-04-08T07:03:39.634Z [INFO]: PUT /projects/update-file-tree - ::1
2025-04-10T04:13:42.378Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T04:14:42.504Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T04:15:21.826Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:15:21.833Z [INFO]: POST /users/login - ::1
2025-04-10T04:15:27.915Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:15:27.919Z [INFO]: POST /users/login - ::1
2025-04-10T04:15:32.996Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:15:32.999Z [INFO]: POST /users/login - ::1
2025-04-10T04:15:36.513Z [INFO]: POST /users/login - ::1
2025-04-10T04:15:37.350Z [INFO]: POST /users/login - ::1
2025-04-10T04:15:37.662Z [INFO]: POST /users/login - ::1
2025-04-10T04:15:46.039Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:15:46.042Z [INFO]: POST /users/login - ::1
2025-04-10T04:18:01.663Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:18:01.667Z [INFO]: POST /users/login - ::1
2025-04-10T04:18:02.710Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:18:02.732Z [INFO]: GET /projects/all - ::1
2025-04-10T04:20:39.003Z [INFO]: OPTIONS /projects/create - ::1
2025-04-10T04:20:39.007Z [INFO]: POST /projects/create - ::1
2025-04-10T04:20:39.137Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:20:39.146Z [INFO]: GET /projects/all - ::1
2025-04-10T04:20:41.240Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:20:41.265Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:20:41.283Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:20:41.293Z [INFO]: GET /users/all - ::1
2025-04-10T04:22:02.243Z [INFO]: OPTIONS /users/register - ::1
2025-04-10T04:22:02.246Z [INFO]: POST /users/register - ::1
2025-04-10T04:22:02.460Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:22:02.484Z [INFO]: GET /projects/all - ::1
2025-04-10T04:22:07.319Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:22:07.324Z [INFO]: GET /projects/all - ::1
2025-04-10T04:22:08.136Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
